4 #UTIL: 77
34 #UTIL: 70
15 #UTIL: 63
21 #UTIL: 56
20 #UTIL: 56
11 #UTIL: 72
6 #UTIL: 108
6 38 #UTIL: 118
9 10 #UTIL: 88
4 5 #UTIL: 92
4 7 #UTIL: 84
4 6 #UTIL: 85
11 21 22 #UTIL: 146
19 20 22 #UTIL: 95
11 20 22 #UTIL: 146
11 19 22 #UTIL: 93
6 20 21 #UTIL: 180
6 19 21 #UTIL: 127
6 11 21 #UTIL: 178
19 20 21 #UTIL: 115
11 20 21 #UTIL: 166
11 19 21 #UTIL: 113
6 19 20 #UTIL: 127
6 11 20 #UTIL: 178
11 19 20 #UTIL: 113
6 11 19 #UTIL: 125
4 5 6 7 #UTIL: 107
29 30 31 37 #UTIL: 66
28 30 31 37 #UTIL: 60
27 30 31 37 #UTIL: 66
3 30 31 37 #UTIL: 63
11 30 31 37 #UTIL: 128
7 30 31 37 #UTIL: 64
6 30 31 37 #UTIL: 132
30 31 36 37 #UTIL: 83
30 31 35 37 #UTIL: 60
30 31 34 37 #UTIL: 126
30 31 33 37 #UTIL: 64
30 31 32 37 #UTIL: 59
11 29 31 37 #UTIL: 102
6 29 31 37 #UTIL: 106
29 31 36 37 #UTIL: 57
29 31 34 37 #UTIL: 100
11 28 31 37 #UTIL: 96
6 28 31 37 #UTIL: 100
28 31 34 37 #UTIL: 94
11 27 31 37 #UTIL: 102
6 27 31 37 #UTIL: 106
27 31 36 37 #UTIL: 57
27 31 34 37 #UTIL: 100
3 31 36 37 #UTIL: 54
3 31 34 37 #UTIL: 97
6 11 31 37 #UTIL: 168
11 31 36 37 #UTIL: 119
11 31 35 37 #UTIL: 96
11 31 34 37 #UTIL: 162
11 31 33 37 #UTIL: 100
7 31 36 37 #UTIL: 55
7 31 34 37 #UTIL: 98
6 31 36 37 #UTIL: 123
6 31 35 37 #UTIL: 100
6 31 34 37 #UTIL: 166
31 34 36 37 #UTIL: 117
31 33 36 37 #UTIL: 55
31 34 35 37 #UTIL: 94
31 33 34 37 #UTIL: 98
31 32 34 37 #UTIL: 93
28 29 30 37 #UTIL: 66
11 29 30 37 #UTIL: 134
29 30 32 37 #UTIL: 65
7 29 30 37 #UTIL: 70
6 29 30 37 #UTIL: 138
29 30 33 37 #UTIL: 70
29 30 36 37 #UTIL: 89
3 29 30 37 #UTIL: 69
29 30 34 37 #UTIL: 132
29 30 35 37 #UTIL: 66
27 29 30 37 #UTIL: 72
11 28 30 37 #UTIL: 128
28 30 32 37 #UTIL: 59
7 28 30 37 #UTIL: 64
6 28 30 37 #UTIL: 132
28 30 33 37 #UTIL: 64
28 30 36 37 #UTIL: 83
3 28 30 37 #UTIL: 63
28 30 34 37 #UTIL: 126
28 30 35 37 #UTIL: 60
27 28 30 37 #UTIL: 66
11 27 30 37 #UTIL: 134
7 27 30 37 #UTIL: 70
6 27 30 37 #UTIL: 138
27 30 33 37 #UTIL: 70
27 30 36 37 #UTIL: 89
3 27 30 37 #UTIL: 69
27 30 34 37 #UTIL: 132
27 30 35 37 #UTIL: 66
27 30 32 37 #UTIL: 65
3 11 30 37 #UTIL: 77
3 7 30 37 #UTIL: 60
3 6 30 37 #UTIL: 67
3 30 36 37 #UTIL: 86
3 30 35 37 #UTIL: 63
3 30 34 37 #UTIL: 129
3 30 33 37 #UTIL: 67
3 30 32 37 #UTIL: 62
7 11 30 37 #UTIL: 78
6 11 30 37 #UTIL: 200
11 30 36 37 #UTIL: 151
11 30 35 37 #UTIL: 128
11 30 34 37 #UTIL: 194
11 30 33 37 #UTIL: 132
11 30 32 37 #UTIL: 127
6 7 30 37 #UTIL: 76
7 30 36 37 #UTIL: 87
7 30 35 37 #UTIL: 64
7 30 34 37 #UTIL: 130
7 30 33 37 #UTIL: 68
7 30 32 37 #UTIL: 63
6 30 36 37 #UTIL: 155
6 30 35 37 #UTIL: 132
6 30 34 37 #UTIL: 198
6 30 33 37 #UTIL: 136
6 30 32 37 #UTIL: 131
30 35 36 37 #UTIL: 83
30 34 36 37 #UTIL: 149
30 33 36 37 #UTIL: 87
30 32 36 37 #UTIL: 82
30 34 35 37 #UTIL: 126
30 33 35 37 #UTIL: 64
30 32 35 37 #UTIL: 59
30 33 34 37 #UTIL: 130
30 32 34 37 #UTIL: 125
30 32 33 37 #UTIL: 63
11 28 29 37 #UTIL: 102
6 28 29 37 #UTIL: 106
28 29 36 37 #UTIL: 57
28 29 34 37 #UTIL: 100
11 29 35 37 #UTIL: 102
11 27 29 37 #UTIL: 108
7 11 29 37 #UTIL: 52
6 11 29 37 #UTIL: 174
11 29 36 37 #UTIL: 125
11 29 34 37 #UTIL: 168
11 29 33 37 #UTIL: 106
11 29 32 37 #UTIL: 101
6 29 32 37 #UTIL: 105
29 32 36 37 #UTIL: 56
29 32 34 37 #UTIL: 99
7 29 36 37 #UTIL: 61
7 29 34 37 #UTIL: 104
6 27 29 37 #UTIL: 112
6 29 35 37 #UTIL: 106
6 29 36 37 #UTIL: 129
6 29 34 37 #UTIL: 172
29 33 36 37 #UTIL: 61
29 33 34 37 #UTIL: 104
3 29 36 37 #UTIL: 60
29 34 36 37 #UTIL: 123
29 35 36 37 #UTIL: 57
27 29 36 37 #UTIL: 63
3 29 34 37 #UTIL: 103
29 34 35 37 #UTIL: 100
27 29 34 37 #UTIL: 106
